"act_symbol";"date";"period";"net_income";"depreciation_amortization_and_depletion";"net_change_from_assets";"net_cash_from_discontinued_operations";"other_operating_activities";"net_cash_from_operating_activities";"property_and_equipment";"acquisition_of_subsidiaries";"investments";"other_investing_activities";"net_cash_from_investing_activities";"issuance_of_capital_stock";"issuance_of_debt";"increase_short_term_debt";"payment_of_dividends_and_other_distributions";"other_financing_activities";"net_cash_from_financing_activities";"effect_of_exchange_rate_changes";"net_change_in_cash_and_equivalents";"cash_at_beginning_of_period";"cash_at_end_of_period";"diluted_net_eps"
"ORMP";"2013-08-31";"Year";-4230000;10000;-350000;0;1180000;-3400000;-10000;0;-4570000;0;-4570000;5820000;0;0;0;0;5820000;-20000;-2160000;4430000;2270000;-0.59
"ORMP";"2014-08-31";"Year";-5700000;10000;160000;0;1460000;-4070000;-10000;0;-13070000;0;-13090000;16640000;0;0;0;0;16640000;10000;-510000;2270000;1760000;-0.62
"ORMP";"2015-08-31";"Year";-7230000;0;860000;0;1420000;-4950000;0;0;-3310000;0;-3310000;9720000;0;0;0;0;9720000;-10000;1450000;1760000;3210000;-0.67
"ORMP";"2016-08-31";"Year";-10960000;0;15040000;0;570000;4660000;-10000;0;-16900000;900000;-16010000;12040000;0;0;0;0;12040000;10000;690000;3210000;3910000;-0.87
"ORMP";"2017-08-31";"Year";-10480000;10000;2870000;0;1770000;-5830000;-10000;0;4310000;0;4300000;1590000;0;0;0;0;1590000;10000;60000;3910000;3970000;-0.79
"ORMP";"2017-12-31";"Year";-12730000;10000;-3600000;0;1670000;-14660000;-10000;0;-7000000;0;-7000000;22650000;0;0;0;0;22650000;30000;1030000;3970000;5000000;-0.86
"ORMP";"2018-08-31";"Year";-12730000;10000;-3600000;0;1670000;-14660000;-10000;0;-7000000;0;-7000000;22650000;0;0;0;0;22650000;30000;1030000;3970000;5000000;-0.86
"ORMP";"2018-12-31";"Year";-14360000;10000;290000;0;1120000;-12940000;-20000;0;11280000;0;11260000;22650000;0;0;0;0;22650000;10000;-1670000;5000000;3330000;-0.82
"ORMP";"2019-08-31";"Year";-14360000;10000;290000;0;1120000;-12940000;-20000;0;11280000;0;11260000;0;0;0;0;0;0;10000;-1670000;5000000;3330000;-0.82
"ORMP";"2019-12-31";"Year";-11510000;10000;-3160000;0;2220000;-12440000;-80000;0;4710000;0;4630000;23790000;0;0;0;0;23790000;-10000;15970000;3330000;19300000;-0.56
"ORMP";"2020-08-31";"Year";-11510000;10000;-3160000;0;2220000;-12440000;-80000;0;4710000;0;4630000;23790000;0;0;0;0;23790000;-10000;15970000;3330000;19300000;-0.56
"ORMP";"2020-12-31";"Year";-22990000;80000;-1320000;0;3050000;-21180000;-380000;0;-23390000;0;-23760000;101390000;0;0;0;1500000;102890000;0;57950000;19300000;77250000;-0.78
"ORMP";"2021-08-31";"Year";-22990000;80000;-1320000;0;3050000;-21180000;-380000;0;-23390000;0;-23760000;101390000;0;0;0;1500000;102890000;0;57950000;19300000;77250000;-0.78
"ORMP";"2021-12-31";"Year";-8100000;10000;-300000;0;1480000;-6900000;0;0;-99050000;0;-99050000;60560000;0;0;0;0;60560000;20000;-45370000;77250000;31880000;-0.78
"ORMP";"2022-12-31";"Quarter";-37760000;60000;-940000;0;10730000;-27920000;-470000;0;23800000;6890000;30210000;11560000;0;0;0;-780000;10780000;-60000;13010000;27460000;40460000;-0.22
"ORMP";"2022-12-31";"Year";-37760000;60000;-940000;0;10730000;-27920000;-470000;0;23800000;6890000;30210000;11560000;0;0;0;-780000;10780000;-60000;13010000;27460000;40460000;-0.94
"ORMP";"2023-03-31";"Quarter";-3610000;40000;-820000;0;-1160000;-5550000;-200000;0;-13000000;0;-13200000;2430000;0;0;0;0;2430000;-40000;-16360000;40460000;24100000;-0.08
"ORMP";"2023-06-30";"Quarter";-4920000;90000;-4060000;0;710000;-8180000;-220000;0;-27690000;0;-27910000;2430000;0;0;0;0;2430000;-30000;-33700000;40460000;6770000;-0.03
"ORMP";"2023-09-30";"Quarter";-8210000;140000;-2240000;0;1430000;-8880000;-250000;0;-102780000;0;-103040000;2430000;74550000;0;0;0;76980000;-60000;-35000000;40460000;5470000;-0.08
"ORMP";"2023-12-31";"Quarter";5090000;200000;-2700000;0;-12880000;-10300000;-250000;0;-76160000;3380000;-73040000;2430000;49550000;0;0;0;51980000;-50000;-31410000;40460000;9060000;0.33
